time,seconds_elapsed,dBFS
1670350768436000000,0.001,-160
1670350768451000000,0.016,-160
1670350768624000000,0.189,-106
1670350768730000000,0.294999755859375,-85
1670350768842000000,0.406999755859375,-53
1670350768954000000,0.518999755859375,-57
1670350769066000000,0.630999755859375,-58
1670350769181000000,0.746,-59
1670350769289000000,0.854,-71
1670350769401000000,0.966,-68
1670350769517000000,1.082,-64
1670350769634000000,1.198999755859375,-63
1670350769754000000,1.318999755859375,-76
1670350769870000000,1.435000244140625,-62
1670350769985000000,1.55,-58
1670350770106000000,1.670999755859375,-63
1670350770220000000,1.785,-59
1670350770337000000,1.902,-61
1670350770452000000,2.017,-65
1670350770558000000,2.123000244140625,-66
1670350770669000000,2.234,-66
1670350770780000000,2.345,-74
1670350770892000000,2.457,-67
1670350771003000000,2.568,-67
1670350771114000000,2.678999755859375,-57
1670350771227000000,2.792,-52
1670350771339000000,2.904,-57
1670350771453000000,3.018,-70
1670350771560000000,3.125,-81
1670350771676000000,3.241,-85
1670350771782000000,3.347000244140625,-74
1670350771896000000,3.461,-63
1670350772005000000,3.57,-71
1670350772117000000,3.682,-74
1670350772236000000,3.801,-68
1670350772339000000,3.904,-68
1670350772454000000,4.019000244140625,-67
1670350772562000000,4.126999755859375,-74
1670350772674000000,4.238999755859375,-78
1670350772786000000,4.350999755859375,-82
1670350772899000000,4.464,-100
1670350773010000000,4.574999755859375,-89
1670350773119000000,4.684,-77
1670350773230000000,4.795000244140625,-83
1670350773342000000,4.907000244140625,-79
1670350773454000000,5.019000244140625,-80
1670350773565000000,5.13,-80
1670350773676000000,5.241,-72
1670350773788000000,5.353,-74
1670350773899000000,5.464,-78
1670350774011000000,5.576,-87
1670350774122000000,5.686999755859375,-87
1670350774233000000,5.798,-83
1670350774345000000,5.91,-73
1670350774458000000,6.022999755859375,-73
1670350774568000000,6.133,-78
1670350774679000000,6.244,-73
1670350774791000000,6.356,-68
1670350774902000000,6.467000244140625,-68
1670350775013000000,6.578,-66
1670350775124000000,6.689,-65
1670350775236000000,6.801,-69
1670350775347000000,6.912,-82
1670350775460000000,7.025,-71
1670350775570000000,7.134999755859375,-80
1670350775681000000,7.246,-78
1670350775792000000,7.357,-72
1670350775903000000,7.468,-77
1670350776015000000,7.58,-83
1670350776128000000,7.693,-92
1670350776238000000,7.803000244140625,-76
1670350776350000000,7.915000244140625,-78
1670350776462000000,8.027000244140625,-71
1670350776575000000,8.14,-64
1670350776685000000,8.25,-68
1670350776798000000,8.363000244140625,-73
1670350776908000000,8.473,-69
1670350777021000000,8.586,-78
1670350777129000000,8.694,-80
1670350777240000000,8.805,-76
1670350777351000000,8.916,-76
1670350777467000000,9.032,-67
1670350777574000000,9.139000244140625,-67
1670350777686000000,9.251000244140625,-76
1670350777798000000,9.363000244140625,-82
1670350777909000000,9.474,-102
1670350778021000000,9.586,-79
1670350778131000000,9.696,-74
1670350778242000000,9.806999755859374,-75
1670350778355000000,9.92,-81
1670350778468000000,10.033,-77
1670350778578000000,10.142999755859375,-76
1670350778689000000,10.254,-72
1670350778800000000,10.365,-72
1670350778913000000,10.478,-75
1670350779024000000,10.589,-86
1670350779134000000,10.699000244140626,-106
1670350779245000000,10.81,-83
1670350779356000000,10.921,-74
1670350779469000000,11.034,-74
1670350779580000000,11.145,-84
1670350779691000000,11.256,-83
1670350779802000000,11.366999755859375,-75
1670350779914000000,11.478999755859375,-73
1670350780026000000,11.590999755859375,-74
1670350780137000000,11.702,-73
1670350780248000000,11.813,-85
1670350780359000000,11.924,-85
1670350780470000000,12.035000244140624,-74
1670350780583000000,12.148,-85
1670350780693000000,12.258,-80
1670350780804000000,12.369,-72
1670350780918000000,12.483000244140625,-74
1670350781028000000,12.593,-86
1670350781146000000,12.710999755859374,-89
1670350781252000000,12.817,-80
1670350781363000000,12.928,-70
1670350781473000000,13.038,-68
1670350781584000000,13.149,-65
1670350781695000000,13.26,-68
1670350781808000000,13.373,-70
1670350781918000000,13.483000244140625,-70
1670350782032000000,13.597,-68
1670350782144000000,13.709,-64
1670350782252000000,13.817,-67
1670350782365000000,13.93,-63
1670350782476000000,14.041,-68
1670350782587000000,14.152,-76
1670350782699000000,14.264,-78
1670350782811000000,14.376,-76
1670350782921000000,14.486,-73
1670350783033000000,14.598,-81
1670350783145000000,14.71,-68
1670350783286000000,14.851000244140625,-69
1670350783393000000,14.958,-70
1670350783504000000,15.069,-72
1670350783608000000,15.173,-61
1670350783724000000,15.289,-59
